Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.448118  , 0.264157  
jeopardy                           , 0.040151  , 0.040151  
bigbench_qa_wikidata               , 0.505093  , 0.505093  
arc_easy                           , 0.531566  , 0.375421  
arc_challenge                      , 0.256826  , 0.009101  
copa                               , 0.660000  , 0.320000  
commonsense_qa                     , 0.240786  , 0.050983  
piqa                               , 0.695865  , 0.391730  
openbook_qa                        , 0.318000  , 0.090667  
lambada_openai                     , 0.484572  , 0.484572  
hellaswag                          , 0.448417  , 0.264556  
winograd                           , 0.703297  , 0.406593  
winogrande                         , 0.544594  , 0.089187  
bigbench_dyck_languages            , 0.228000  , 0.228000  
agi_eval_lsat_ar                   , 0.256522  , 0.070652  
bigbench_cs_algorithms             , 0.416667  , 0.416667  
bigbench_operators                 , 0.114286  , 0.114286  
bigbench_repeat_copy_logic         , 0.062500  , 0.062500  
squad                              , 0.245885  , 0.245885  
coqa                               , 0.253288  , 0.253288  
boolq                              , 0.582875  , -0.097698 
bigbench_language_identification   , 0.247900  , 0.172607  
CORE                               ,           , 0.216291  
