Task                               , Accuracy  , Centered  
hellaswag_zeroshot                 , 0.504382  , 0.339175  
jeopardy                           , 0.083137  , 0.083137  
bigbench_qa_wikidata               , 0.539245  , 0.539245  
arc_easy                           , 0.575758  , 0.434343  
arc_challenge                      , 0.286689  , 0.048919  
copa                               , 0.670000  , 0.340000  
commonsense_qa                     , 0.203112  , 0.003890  
piqa                               , 0.714907  , 0.429815  
openbook_qa                        , 0.344000  , 0.125333  
lambada_openai                     , 0.513681  , 0.513681  
hellaswag                          , 0.511950  , 0.349266  
winograd                           , 0.714286  , 0.428571  
winogrande                         , 0.574586  , 0.149171  
bigbench_dyck_languages            , 0.247000  , 0.247000  
agi_eval_lsat_ar                   , 0.291304  , 0.114130  
bigbench_cs_algorithms             , 0.410606  , 0.410606  
bigbench_operators                 , 0.157143  , 0.157143  
bigbench_repeat_copy_logic         , 0.125000  , 0.125000  
squad                              , 0.304163  , 0.304163  
coqa                               , 0.293123  , 0.293123  
boolq                              , 0.609786  , -0.026879 
bigbench_language_identification   , 0.252600  , 0.177778  
CORE                               ,           , 0.253937  
